('advertise', 'highly publicize')
('ruin', 'utterly destroy')
('dauntless', 'utterly fearless')
('hatch', 'completely cover')
('hard-nosed', 'highly pragmatic')
('smart', 'very chic')
('choke', 'really go')
('meek', 'very modest')
('depart', 'too vary')
('overlook', 'completely omit')
('ominous', 'really ill')
('replace', 'completely supersede')
('thoroughgoing', 'entirely pure')
('separate', 'very distinguish')
('inactive', 'absolutely motionless')
('vain', 'absolutely fruitless')
('plentiful', 'extremely rich')
('critical', 'absolutely decisive')
('uninitiated', 'completely naive')
('hooked', 'completely dependent')
('base', 'very humble')
('internal', 'intensely national')
('point-blank', 'completely frank')
('block', 'completely occlude')
('desolate', 'utterly devastate')
('rational', 'highly intellectual')
('sympathize', 'really understand')
('tone', 'highly inflect')
('founder', 'really give')
('internal', 'intensely national')
('speculate', 'really reflect')
('nonsensical', 'utterly ridiculous')
('mute', 'entirely silent')
('abandon', 'completely desert')
('eject', 'utterly exhaust')
('supporting', 'very encouraging')
('worry', 'very interest')
('dishonest', 'entirely corruptible')
('critical', 'really decisive')
('declarative', 'highly indicative')
('herd', 'too crowd')
('unequalled', 'utterly alone')
('useable', 'really functional')
('subsist', 'very live')
('train', 'highly develop')
('juicy', 'too fat')
('pain', 'very trouble')
('choke', 'entirely go')
('equivocal', 'completely ambiguous')
('insert', 'completely enclose')
