Sentence,"Expected triples <X, ACTION, Y>","Predicted triples <X, ACTION, Y>",PMID,Year,Journal title,Organization
2-AG activates OCTR-1 directly.,"<2-AG, activates, OCTR-1>","< 2-AG , activates , OCTR-1 >",28188220,2017,Neuroscience,"Mitchell D Oakes 1, Wen Jing Law 1, Tobias Clark 1, Bruce A Bamber 1, Richard Komuniecki 2

"
"The present study demonstrates that mammalian cannabinoid receptor ligands activate a conserved cannabinoid signaling system in C. elegans and also modulate monoaminergic signaling, potentially affecting an array of disorders, including anxiety and depression.","<mammalian cannabinoid receptor ligands, activate, system>","< mammalian cannabinoid receptor ligands , activate , system >",28188220,2017,Neuroscience,"Mitchell D Oakes 1, Wen Jing Law 1, Tobias Clark 1, Bruce A Bamber 1, Richard Komuniecki 2

"
"We report that distinct guanine exchange factors (GEFs) activate Rho1 in these two cellular compartments. RhoGEF2 acts uniquely to activate medial-apical Rho1 but is recruited both medial-apically and at junctions by Gα12/13-GTP, also called Concertina (Cta) in Drosophila.","<distinct guanine exchange factors (GEFs), activate, Rho1>","< distinct guanine exchange factors (GEFs) , activate , Rho1 > ,  < distinct guanine exchange factors (GEFs) , activate , these two cellular compartments > , < We report that distinct guanine exchange factors (GEFs) activate Rho1 in these two cellular compartments. RhoGEF2 acts uniquely to activate medial-apical Rho1 but is recruited both medial-apically and at junctions by Gα12/13-GTP, also called Concertina (Cta) in Drosophila , activate , these two cellular compartments > , < distinct guanine exchange factors (GEFs) , activate , Rho1 > , < distinct guanine exchange factors (GEFs) , activate , these two cellular compartments > , < We report that distinct guanine exchange factors (GEFs) activate Rho1 in these two cellular compartments. RhoGEF2 acts uniquely to activate medial-apical Rho1 but is recruited both medial-apically and at junctions by Gα12/13-GTP, also called Concertina (Cta) in Drosophila , activate , these two cellular compartments >",31522942,2019,Current biology ,"Alain Garcia De Las Bayonas 1, Jean-Marc Philippe 1, Annemarie C Lellouch 1, Thomas Lecuit 2"
"Furthermore, Gβ13F/Gγ1 activates junctional Rho1 and exerts quantitative control over planar polarization of Rho1.","<Gβ13F/Gγ1, activates, junctional Rho1>","< Gβ13F/Gγ1 , activates , junctional Rho1 >",31522942,2019,Current biology ,"Alain Garcia De Las Bayonas 1, Jean-Marc Philippe 1, Annemarie C Lellouch 1, Thomas Lecuit 2"
All human PSGs activated the small latent complex of TGF-β1 (P < 0.05 vs. control) and showed similar affinities (KD) for LAP.,"<All human PSGs ,activated, the small latent complex>","< All human PSGs , activated , the small latent complex >",30371828,2018,Molecular human reproduction  ,"James Warren 1, Michelle Im 2, Angela Ballesteros 3, Cam Ha 1, Tom Moore 4, Fanny Lambert 5, Sophie Lucas 5, Boris Hinz 2, Gabriela Dveksler 1"
"We now know that protein-reactive drugs such as β-lactam antibiotics activate T cells via direct noncovalent interactions with HLA or HLA-binding peptides, direct covalent modification of HLA-binding peptides and covalent binding of non-HLA associated proteins.","<protein-reactive drugs, activate, T cells>","< protein-reactive drugs , activate , T cells >",29905574,2018,Allergy and clinical immunology,"Xiaoli Meng 1, Daniel Yerly 2, Dean J Naisbitt "
These molecules activate different signaling pathways and produce different physiological responses which can be taken advantage of for sepsis modeling.,"<These molecules, activate, different signaling pathways>","< These molecules , activate , different signaling pathways >",31491842,2019,Molecular sciences,"Kayle Dickson 1, Christian Lehmann"
"In conclusion, urate crystals directly activate the TCR complex and induce T-cell proliferation.","<urate crystals, activate, the TCR complex>","< urate crystals , activate , the TCR complex >",29085633,2017,Biomedical,"Theodoros Eleftheriadis 1, Georgios Pissas 1, Maria Sounidaki 1, Georgia Antoniadi 1, Ioannis Tsialtas 1, Vassilios Liakopoulos 1, Ioannis Stefanidis 1"
"In therapeutic cancer vaccination, monocyte-derived dendritic cells (moDCs) efficiently activate specific T-cell responses; however, optimizing the activation of innate immune cells could support and improve the antitumor effects.","<monocyte-derived dendritic cells, activate, specific T-cell responses>","< monocyte-derived dendritic cells , activate , specific T-cell responses >",31853267,2019,Medical oncology,"Naomi C Bosch 1, Reinhard E Voll 2, Caroline J Voskens 3, Stefanie Gross 3, Barbara Seliger 1, Gerold Schuler 3, Niels Schaft 3, Jan Dörrie 4"
"IL-12 prominently activates natural killer (NK) cells, which are crucial in innate antitumor immunity, as they act as helper cells for the induction of a cytotoxic T lymphocyte (CTL) response and are also able to directly kill the tumor.","<IL-12, activates, natural killer (NK) cells>","< IL-12 , activates , natural killer (NK) cells >",31853267,2019,Medical oncology,"Naomi C Bosch 1, Reinhard E Voll 2, Caroline J Voskens 3, Stefanie Gross 3, Barbara Seliger 1, Gerold Schuler 3, Niels Schaft 3, Jan Dörrie 4"
